ori,2019,2021,increase
WI0180100,60.0,37.0,0
WI0320100,19.0,21.0,1
WI0370000,10.0,21.0,1
WI0411600,52.0,33.0,0
WI0450000,18.0,13.0,0
WI0450100,82.0,111.0,1
WI0520200,85.0,86.0,1
WI0540200,56.0,60.0,1
WI0560000,9.0,25.0,1
WI0710300,41.0,41.0,0
WIMPD0000,3670.0,4989.0,1
WV0020000,31.0,45.0,1
WV0200000,190.0,186.0,0
WV0310000,29.0,23.0,0
WV0410000,41.0,54.0,1
