ori,,2019,2021,perc_21_19
NC0010000,Alamance County Sheriff's Office,28.0,47.0,1.6785714285714286
NC0010100,Burlington Police Department,65.0,117.0,1.8
NC0110000,Buncombe County Sheriff's Office,51.0,23.0,0.45098039215686275
NC0110100,Asheville Police Department,115.0,118.0,1.0260869565217392
NC0120000,Burke County Sheriff's Office,13.0,16.0,1.2307692307692308
NC0130000,Cabarrus County Sheriff's Office,7.0,10.0,1.4285714285714286
NC0130100,Concord Police Department,30.0,24.0,0.8
NC0130200,Kannapolis Police Department,27.0,37.0,1.3703703703703705
NC0140000,Caldwell County Sheriff's Office,16.0,19.0,1.1875
NC0190000,Chatham County Sheriff's Office,5.0,15.0,3.0
NC0230000,Cleveland County Sheriff's Office,19.0,38.0,2.0
NC0260100,Fayetteville Police Department,340.0,571.0,1.6794117647058824
NC0320100,Durham Police Department,410.0,574.0,1.4
NC0330100,Rocky Mount Police Department,121.0,145.0,1.1983471074380165
NC0350000,Franklin County Sheriff's Office,16.0,25.0,1.5625
NC0410000,Guilford County Sheriff's Office,53.0,55.0,1.0377358490566038
NC0410200,Greensboro Police Department,522.0,553.0,1.0593869731800767
NC0410300,High Point Police Department,246.0,171.0,0.6951219512195121
NC0490000,Iredell County Sheriff's Office,20.0,32.0,1.6
NC0510000,Johnston County Sheriff's Office,16.0,32.0,2.0
NC0550000,Lincoln County Sheriff's Office,26.0,28.0,1.0769230769230769
NC0600100,Charlotte-Mecklenburg Police Department,1517.0,2079.0,1.3704680290046143
NC0600600,Huntersville Police Department,15.0,20.0,1.3333333333333333
NC0630000,Moore County Sheriff's Office,6.0,5.0,0.8333333333333334
NC0650000,New Hanover County Sheriff's Office,26.0,25.0,0.9615384615384616
NC0650200,Wilmington Police Department,165.0,122.0,0.7393939393939394
NC0680000,Orange County Sheriff's Office,12.0,24.0,2.0
NC0680100,Chapel Hill Police Department,3.0,16.0,5.333333333333333
NC0740000,Pitt County Sheriff's Office,24.0,32.0,1.3333333333333333
NC0740300,Greenville Police Department,100.0,120.0,1.2
NC0780000,Robeson County Sheriff's Office,207.0,360.0,1.7391304347826086
