ori,,2019,2020,2021,perc_19_19,perc_20_19,perc_21_19
OH0120000,Clark County Sheriff's Office,2,13,5,1,6.5,2.5
OH0130000,Clermont County Sheriff's Office,24,10,9,1,0.416666667,0.375
OH0184200,Parma Police Department,17,25,19,1,1.470588235,1.117647059
OH0230000,Fairfield County Sheriff's Office,11,16,11,1,1.454545455,1
OH0250000,Franklin County Sheriff's Office,2,7,5,1,3.5,2.5
OH0250300,Dublin Police Department,4,1,0,1,0.25,0
OH0314200,Colerain Township Police Department,5,23,28,1,4.6,5.6
OH0314400,Green Township Police Department,0,13,12,#DIV/0!,#DIV/0!,#DIV/0!
OH0450100,Newark Police Department,10,10,12,1,1,1.2
OH0470000,Lorain County Sheriff's Office,4,12,9,1,3,2.25
OH0470400,Elyria Police Department,12,19,27,1,1.583333333,2.25
OH0470500,Lorain Police Department,45,70,67,1,1.555555556,1.488888889
OH0480000,Lucas County Sheriff's Office,15,14,15,1,0.933333333,1
OH0480700,Toledo Police Department,594,754,902,1,1.269360269,1.518518519
OH0500900,Youngstown Police Department,49,23,178,1,0.469387755,3.632653061
OH0570000,Montgomery County Sheriff's Office,48,81,71,1,1.6875,1.479166667
OH0570200,Dayton Police Department,275,436,461,1,1.585454545,1.676363636
OH0700000,Richland County Sheriff's Office,9,13,13,1,1.444444444,1.444444444
OH0710000,Ross County Sheriff's Office,19,15,13,1,0.789473684,0.684210526
OH0730000,Scioto County Sheriff's Office,7,4,4,1,0.571428571,0.571428571
OH0760000,Stark County Sheriff's Office,15,26,25,1,1.733333333,1.666666667
OH0760400,Canton Police Department,192,255,291,1,1.328125,1.515625
OH0770000,Summit County Sheriff's Office,5,11,12,1,2.2,2.4
OH0770100,Akron Police Department,304,453,434,1,1.490131579,1.427631579
OH0830000,Warren County Sheriff's Office,6,4,7,1,0.666666667,1.166666667
OH0850000,Wayne County Sheriff's Office,5,6,8,1,1.2,1.6
OHCIP0000,Cincinnati Police Department,653,908,862,1,1.39050536,1.320061256
OHCLP0000,Cleveland Police Department,989,1530,1589,1,1.547017189,1.606673407
OHCOP0000,Columbus Police Department,700,1027,1216,1,1.467142857,1.737142857
OK0140200,Norman Police Department,23,50,48,1,2.173913043,2.086956522
