ori,,inc
OR0030000,Clackamas County Sheriff's Office,1
OR0090000,Deschutes County Sheriff's Office,0
OR0090100,Bend Police Department,0
OR0100000,Douglas County Sheriff's Office,1
OR0150000,Jackson County Sheriff's Office,0
OR0150400,Medford Police Department,0
OR0200200,Eugene Police Department,1
OR0200600,Springfield Police Department,1
OR0220000,Linn County Sheriff's Office,0
OR0220100,Albany Police Department,0
OR0240200,Salem Police Department,1
OR0260100,Gresham Police Department,1
OR0260200,Portland Police Department,1
OR0340000,Washington County Sheriff's Office,1
OR0340100,Beaverton Police Department,1
OR0340300,Hillsboro Police Department,1
OR0340400,Tigard Police Department,1
RI0020300,Warwick Police Department,1
RI0040200,Cranston Police Department,1
RI0040800,Pawtucket Police Department,1
RI0040900,Providence Police Department,1
SC0040000,Anderson County Sheriff's Office,1
SC0070000,Beaufort County Sheriff's Office,1
SC0080000,Berkeley County Sheriff's Office,1
SC0100000,Charleston County Sheriff's Office,1
SC0100100,Charleston Police Department,1
SC0100300,Mount Pleasant Police Department,1
SC0100800,North Charleston Police Department,1
SC0160000,Darlington County Sheriff's Office,1
SC0180000,Dorchester County Sheriff's Office,1
SC0180200,Summerville Police Department,0
SC0210000,Florence County Sheriff's Office,1
SC0220000,Georgetown County Sheriff's Office,0
SC0230000,Greenville County Sheriff's Office,1
SC0230200,Greenville Police Department,1
SC0260400,Horry County Police Department,1
SC0280000,Kershaw County Sheriff's Office,1
SC0290000,Lancaster County Sheriff's Office,1
SC0320000,Lexington County Sheriff's Office,1
SC0370000,Oconee County Sheriff's Office,1
SC0380000,Orangeburg County Sheriff's Office,1
SC0390000,Pickens County Sheriff's Office,0
SC0400000,Richland County Sheriff's Office,1
SC0400100,Columbia Police Department,1
SC0420000,Spartanburg County Sheriff's Office,1
SC0430000,Sumter County Sheriff's Office,1
SC0460000,York County Sheriff's Office,1
SD0490200,Sioux Falls Police Department,1
SD0510100,Rapid City Police Department,1
TN0050000,Blount County Sheriff's Office,0
TN0060000,Bradley County Sheriff's Office,1
TN0180000,Cumberland County Sheriff's Office,1
TN0190100,Nashville Metropolitan Police Department,1
TN0330000,Hamilton County Sheriff's Office,1
TN0330100,Chattanooga Police Department,1
TN0470000,Knox County Sheriff's Office,1
TN0470100,Knoxville Police Department,1
TN0570100,Jackson Police Department,1
TN0630000,Montgomery County Sheriff's Office,1
TN0630100,Clarksville Police Department,1
TN0750000,Rutherford County Sheriff's Office,1
TN0750100,Murfreesboro Police Department,1
TN0750200,Smyrna Police Department,1
TN0780000,Sevier County Sheriff's Office,1
TN0790000,Shelby County Sheriff's Office,1
TN0790100,Collierville Police Department,0
TN0790600,Bartlett Police Department,1
TN0820000,Sullivan County Sheriff's Office,1
TN0820200,Kingsport Police Department,1
TN0830000,Sumner County Sheriff's Office,0
TN0830400,Hendersonville Police Department,0
TN0900000,Washington County Sheriff's Office,0
TN0900100,Johnson City Police Department,0
TN0940000,Williamson County Sheriff's Office,0
TN0940100,Franklin Police Department,1
TN0950000,Wilson County Sheriff's Office,1
TNMPD0000,Memphis Police Department,1
TX0140700,Temple Police Department,1
TX0201000,Pearland Police Department,1
TX0210200,College Station Police Department,1
TX0310100,Brownsville Police Department,1
TX0310300,Harlingen Police Department,1
TX0430400,Frisco Police Department,1
TX0430500,McKinney Police Department,1
TX0430600,Plano Police Department,1
TX0430800,Wylie Police Department,1
TX0460100,New Braunfels Police Department,1
TX0571200,Grand Prairie Police Department,0
TX0571800,Mesquite Police Department,1
TX0572000,Richardson Police Department,1
TX0573300,Rowlett Police Department,1
TX0610200,Denton Police Department,1
TX0610600,Lewisville Police Department,1
TX0611200,Flower Mound Police Department,1
TX0790000,Fort Bend County Sheriff's Office,1
TX0790100,Missouri City Police Department,1
TX0920500,Longview Police Department,0
TX1011500,Pasadena Police Department,1
TX1050100,San Marcos Police Department,1
TX1050700,Kyle Police Department,1
TX1110000,Hood County Sheriff's Office,1
TX1290000,Kaufman County Sheriff's Office,1
TX1520200,Lubbock Police Department,1
TX1551200,Waco Police Department,1
TX1700100,Conroe Police Department,1
TX1840000,Parker County Sheriff's Office,1
TX1880100,Amarillo Police Department,1
TX2120400,Tyler Police Department,1
TX2200100,Arlington Police Department,1
TX2201200,Fort Worth Police Department,1
TX2202100,North Richland Hills Police Department,1
TX2210100,Abilene Police Department,1
TX2260100,San Angelo Police Department,0
TX2270100,Austin Police Department,1
TX2270900,Pflugerville Police Department,1
TX2350100,Victoria Police Department,1
TX2400100,Laredo Police Department,1
TX2460000,Williamson County Sheriff's Office,1
TX2460200,Georgetown Police Department,1
TX2490000,Wise County Sheriff's Office,0
TXDPD0000,Dallas Police Department,1
